day,home,inpatient_ward,intensive_care_unit,death,recovered
0,1001,31,11,1,7
1,999,28,14,0,36
2,1043,26,16,0,40
3,1046,28,13,0,50
4,1036,32,12,0,52
5,1010,34,13,0,55
6,964,35,14,2,57
7,925,39,15,1,60
8,888,46,14,0,68
9,831,47,13,0,66
10,775,46,14,2,72
11,735,53,10,0,53
12,706,48,16,0,35
13,658,44,21,1,53
14,608,44,21,1,56
15,551,52,19,0,57
16,494,47,19,1,61
17,440,51,20,1,54
18,394,55,22,1,44
19,348,54,22,1,46
20,303,52,25,0,47
21,280,55,23,2,22
22,245,58,23,2,31
23,209,53,28,1,35
24,191,55,29,0,19
25,166,57,28,2,26
26,154,54,30,1,15
27,146,48,28,1,15
0,948,33,14,0,19
1,935,28,14,0,39
2,998,31,14,0,37
3,1029,31,15,1,34
4,990,31,18,0,54
5,958,32,17,0,52
6,959,40,17,0,64
7,912,49,14,0,75
8,851,51,11,0,69
9,807,47,11,1,52
10,772,36,20,1,55
11,734,34,22,1,58
12,705,39,19,1,30
13,652,42,21,2,60
14,602,37,19,4,60
15,555,41,16,1,51
16,511,41,18,1,45
17,453,49,18,0,53
18,417,50,18,1,52
19,364,56,18,2,48
20,338,55,17,0,38
21,297,59,17,1,39
22,261,67,14,0,33
23,242,61,18,2,24
24,231,53,19,1,23
25,221,47,17,1,18
26,203,49,12,2,21
27,194,49,12,1,16
0,911,26,12,0,10
1,920,32,12,0,37
2,919,37,9,0,33
3,919,36,9,0,38
4,942,39,10,0,57
5,936,35,14,0,46
6,932,43,14,0,56
7,931,53,12,0,60
8,890,52,18,0,71
9,847,48,24,1,64
10,792,48,25,0,66
11,733,59,20,0,70
12,697,56,24,0,36
13,657,54,28,1,47
14,617,57,26,0,53
15,578,57,25,0,48
16,543,53,26,0,44
17,516,50,23,2,35
18,470,56,22,0,41
19,421,63,21,2,48
20,394,61,21,0,33
21,349,67,24,1,35
22,307,66,24,0,43
23,275,59,31,1,33
24,236,64,31,1,33
25,209,68,30,1,23
26,194,61,33,1,19
27,187,58,30,1,12
0,919,29,14,1,9
1,986,33,16,0,28
2,983,30,17,1,37
3,979,33,16,0,47
4,941,34,18,0,54
5,909,32,20,0,52
6,851,39,16,2,58
7,807,44,15,1,60
8,752,55,17,0,71
9,755,55,19,2,42
10,712,58,21,0,61
11,654,59,24,0,61
12,645,63,28,0,48
13,590,69,24,1,57
14,536,67,27,0,62
15,514,57,31,0,45
16,460,55,36,0,55
17,421,59,36,1,35
18,394,60,37,1,43
19,363,59,38,1,34
20,348,56,37,1,22
21,319,59,36,2,30
22,300,59,34,0,21
23,275,62,32,1,23
24,258,58,31,0,22
25,240,55,31,1,22
26,222,52,31,1,21
27,193,52,29,1,30
0,920,24,14,0,11
1,947,25,13,1,29
2,951,21,17,0,31
3,978,34,13,1,38
4,935,37,12,1,55
5,895,35,12,1,58
6,864,39,11,2,60
7,819,52,9,0,69
8,770,53,12,0,64
9,721,53,10,1,60
10,660,55,12,1,64
11,634,52,13,0,52
12,600,50,15,0,43
13,551,47,17,1,55
14,508,46,18,0,45
15,466,48,20,0,39
16,426,47,24,0,43
17,381,34,27,1,60
18,339,40,26,0,41
19,313,40,28,0,31
20,286,41,28,1,27
21,257,43,28,0,32
22,238,43,28,1,23
23,214,45,23,1,27
24,199,50,18,2,20
25,182,54,17,0,17
26,166,51,15,0,21
27,153,52,14,2,12
0,950,31,11,1,10
1,964,36,11,0,28
2,959,37,8,0,41
3,938,33,8,1,49
4,917,25,15,0,39
5,887,29,12,1,55
6,857,31,11,1,64
7,794,39,12,0,70
8,735,49,12,0,67
9,709,49,12,0,53
10,671,51,13,2,54
11,625,52,15,2,47
12,592,40,17,0,48
13,556,35,20,1,39
14,502,33,21,0,61
15,440,44,20,0,58
16,382,45,19,2,60
17,348,46,22,0,37
18,319,52,23,1,23
19,299,50,25,1,28
20,274,52,22,2,24
21,244,57,24,0,26
22,224,51,26,2,22
23,201,49,27,2,27
24,192,46,29,2,23
25,168,45,31,0,25
26,167,39,31,3,7
27,158,34,31,3,11
0,927,29,14,0,13
1,1011,29,15,0,38
2,1012,32,13,1,33
3,995,35,13,0,42
4,1003,37,13,0,49
5,972,32,15,1,46
6,921,36,17,1,55
7,863,42,18,0,70
8,807,43,21,0,66
9,766,41,22,0,57
10,716,45,24,0,57
11,691,44,23,1,61
12,661,47,22,0,39
13,611,45,24,3,52
14,558,44,25,1,69
15,512,52,23,0,56
16,449,60,24,1,54
17,423,61,24,1,46
18,385,69,19,1,43
19,344,69,22,1,43
20,325,66,24,0,24
21,304,66,22,0,24
22,277,71,22,1,22
23,265,61,23,3,18
24,249,60,23,2,18
25,226,58,29,1,19
26,222,54,32,0,21
27,212,45,34,3,15
0,931,27,12,1,8
1,941,29,15,0,44
2,953,30,13,2,30
3,960,28,10,1,36
4,953,25,13,1,41
5,912,30,13,1,67
6,870,38,13,0,61
7,803,40,12,1,73
8,723,42,16,0,81
9,681,39,19,1,46
10,629,46,18,0,62
11,585,44,18,1,49
12,550,41,22,0,43
13,516,45,21,0,61
14,461,44,22,1,58
15,406,47,23,0,52
16,370,53,23,0,40
17,340,51,23,1,40
18,310,49,24,1,31
19,284,50,24,0,28
20,261,47,24,2,38
21,236,48,25,0,27
22,224,45,28,0,26
23,215,47,26,1,14
24,209,43,24,0,14
25,194,44,23,1,17
26,188,37,23,1,12
27,173,46,19,2,9
0,943,27,11,3,9
1,933,28,11,0,35
2,962,27,11,0,33
3,932,29,11,1,43
4,935,29,15,0,50
5,884,33,15,1,55
6,877,39,14,0,51
7,835,38,18,3,76
8,804,40,19,0,72
9,761,47,16,2,59
10,715,50,16,1,54
11,679,53,16,0,40
12,648,50,17,0,46
13,576,48,17,1,73
14,507,49,17,0,70
15,474,45,18,1,41
16,443,42,17,2,42
17,404,43,20,0,36
18,368,48,21,0,36
19,337,45,22,1,33
20,308,44,23,1,35
21,272,47,22,0,35
22,244,52,23,0,27
23,204,55,23,2,39
24,188,54,23,0,22
25,161,54,25,0,25
26,153,49,25,1,12
27,146,45,25,2,18
0,926,29,15,0,12
1,908,27,12,4,45
2,934,24,14,0,34
